,杨戴/伤逝__chunk001,杨戴/伤逝__chunk002,杨戴/伤逝__chunk003,杨戴/伤逝__chunk004,杨戴/在酒楼上__chunk001,杨戴/在酒楼上__chunk002,杨戴/奔月__chunk001,杨戴/奔月__chunk002,杨戴/孤独者__chunk001,杨戴/孤独者__chunk002,杨戴/孤独者__chunk003,杨戴/孤独者__chunk004,杨戴/幸福的家庭__chunk001,杨戴/故乡__chunk001,杨戴/故乡__chunk002,杨戴/明天__chunk001,杨戴/狂人日记__chunk001,杨戴/狂人日记__chunk002,杨戴/社戏__chunk001,杨戴/社戏__chunk002,杨戴/祝福__chunk001,杨戴/祝福__chunk002,杨戴/祝福__chunk003,杨戴/祝福__chunk004,杨戴/离婚__chunk001,杨戴/离婚__chunk002,杨戴/肥皂__chunk001,杨戴/肥皂__chunk002,杨戴/药__chunk001,杨戴/药__chunk002,杨戴/铸剑__chunk001,杨戴/铸剑__chunk002,杨戴/铸剑__chunk003,杨戴/阿Q正传__chunk001,杨戴/阿Q正传__chunk002,杨戴/阿Q正传__chunk003,杨戴/阿Q正传__chunk004,杨戴/阿Q正传__chunk005,杨戴/阿Q正传__chunk006,杨戴/阿Q正传__chunk007,杨戴/阿Q正传__chunk008,杨戴/阿Q正传__chunk009,杨戴/风波__chunk001,杨戴/风波__chunk002,蓝/伤逝__chunk001,蓝/伤逝__chunk002,蓝/伤逝__chunk003,蓝/在酒楼上__chunk001,蓝/在酒楼上__chunk002,蓝/奔月__chunk001,蓝/奔月__chunk002,蓝/孤独者__chunk001,蓝/孤独者__chunk002,蓝/孤独者__chunk003,蓝/孤独者__chunk004,蓝/幸福的家庭__chunk001,蓝/故乡__chunk001,蓝/故乡__chunk002,蓝/明天__chunk001,蓝/狂人日记__chunk001,蓝/狂人日记__chunk002,蓝/社戏__chunk001,蓝/社戏__chunk002,蓝/祝福__chunk001,蓝/祝福__chunk002,蓝/祝福__chunk003,蓝/离婚__chunk001,蓝/离婚__chunk002,蓝/肥皂__chunk001,蓝/肥皂__chunk002,蓝/药__chunk001,蓝/铸剑__chunk001,蓝/铸剑__chunk002,蓝/铸剑__chunk003,蓝/阿Q正传__chunk001,蓝/阿Q正传__chunk002,蓝/阿Q正传__chunk003,蓝/阿Q正传__chunk004,蓝/阿Q正传__chunk005,蓝/阿Q正传__chunk006,蓝/阿Q正传__chunk007,蓝/阿Q正传__chunk008,蓝/风波__chunk001
杨戴/阿Q正传__chunk006,1.170417,1.180324,1.150859,1.268027,1.113239,1.077594,1.085828,1.105276,0.859451,1.123308,1.037460,0.907764,1.281749,1.065953,1.056764,0.980485,1.087061,1.253455,1.064061,1.060613,0.995097,0.995181,1.136065,1.211228,1.039881,1.046074,1.114016,1.120358,1.113425,1.206518,1.188882,1.137898,1.113391,0.994248,0.923832,0.899833,0.883240,0.839019,0.000000,0.833573,0.962575,1.181077,0.993930,1.019586,1.222714,1.110181,1.222289,1.097416,1.282805,1.124769,1.147911,1.032073,1.074927,1.300975,1.070496,1.234176,1.174815,1.032928,1.169056,1.070954,1.210877,1.171768,1.237509,1.113379,1.242656,1.339772,1.136026,1.301442,1.182126,1.305224,1.304416,1.160373,1.188977,1.252008,0.987584,1.046206,0.977187,1.044491,0.856929,0.807542,0.999219,0.980173,1.097700
杨戴/阿Q正传__chunk007,1.203544,1.050650,1.210214,1.301200,1.012688,1.059514,0.963670,0.981703,0.887675,0.984399,1.060818,0.966317,1.222956,1.045924,0.957869,0.994764,1.294646,1.412352,1.047153,1.033107,1.096656,1.011451,1.020525,1.163380,1.084894,1.118109,1.072050,1.082036,1.050378,1.061402,1.025756,0.999623,1.097802,1.067409,0.939152,0.752973,0.806582,0.829547,0.833573,0.000000,0.842541,1.095422,0.871013,0.907717,1.188587,1.213824,1.179894,1.013196,1.245289,1.069094,1.033606,0.988677,1.094091,1.267491,0.957619,1.252334,1.113020,0.964806,0.999657,1.209231,1.297852,1.150072,1.110862,1.059566,1.164462,1.208469,1.159948,1.296275,1.129635,1.220914,1.194804,1.012782,1.024642,1.127421,1.069244,0.973824,0.892774,0.903301,0.865036,0.952315,0.723998,0.905087,0.959915
杨戴/阿Q正传__chunk008,1.179801,1.183781,1.187595,1.292280,1.012015,1.136081,0.952662,0.875650,0.980802,0.986666,1.180843,0.907351,1.346235,1.097916,1.076908,1.028270,1.254581,1.299924,1.069371,1.115421,1.041465,1.022765,1.135996,1.206215,1.051438,1.116471,1.115208,1.156353,1.001536,1.213319,1.021410,1.050317,1.120554,1.098691,0.935524,0.854760,0.851727,0.799662,0.962575,0.842541,0.000000,1.065095,0.933884,1.059442,1.219357,1.184081,1.179495,1.049840,1.209479,0.948027,0.946883,1.059351,1.039232,1.216616,1.049544,1.257218,1.194493,1.077757,1.049091,1.331498,1.272062,1.203437,1.222144,1.126988,1.213898,1.156281,1.151720,1.219940,1.172945,1.288699,1.153966,1.090954,1.047338,1.240121,1.042471,0.948342,0.950941,0.984899,0.909835,1.002137,0.865083,0.640228,1.061613
杨戴/阿Q正传__chunk009,1.329327,1.300120,1.335954,1.404448,1.025047,1.192994,1.261075,1.134700,1.144044,1.287091,1.273331,1.182920,1.489934,1.295930,1.233007,1.218758,1.289468,1.469880,1.290830,1.359219,1.170938,1.254753,1.409889,1.309536,1.218330,1.389768,1.295499,1.298804,1.225952,1.334783,1.174544,1.255136,1.356465,1.285971,1.049978,1.053981,1.183971,1.066912,1.181077,1.095422,1.065095,0.000000,1.285903,1.340737,1.355050,1.346337,1.343088,1.315372,1.418140,1.252925,1.203532,1.235318,1.367098,1.460669,1.223114,1.561744,1.389221,1.274863,1.255426,1.412197,1.501334,1.348965,1.443385,1.304072,1.494697,1.470140,1.416339,1.488082,1.423388,1.512435,1.382590,1.360290,1.258054,1.396302,1.167669,1.200722,1.123269,1.260735,1.125584,1.197227,1.031366,1.078703,1.300939
杨戴/风波__chunk001,1.117276,1.122837,1.059545,1.140315,1.014864,1.086000,0.797149,0.964053,0.958383,1.011288,1.177639,1.001117,1.268675,0.855108,1.059626,0.849463,1.214540,1.385701,1.134871,0.977297,1.050290,0.921241,1.084772,1.097819,0.786210,0.874190,1.002578,0.873117,1.031148,0.978486,0.947856,1.010663,0.979951,1.171175,1.148429,0.956633,0.977285,0.915697,0.993930,0.871013,0.933884,1.285903,0.000000,0.756024,1.136201,1.130958,1.151501,1.045460,1.215664,0.889384,1.107549,0.962838,1.089226,1.210200,0.985777,1.174375,0.964868,1.058605,0.951866,1.225892,1.238895,1.089990,1.083267,1.067523,1.077989,1.136665,0.963116,1.076974,0.907871,1.038325,1.140636,1.050717,0.914002,1.132213,1.118306,1.077537,1.033792,1.038352,0.879857,0.977174,1.021568,0.975550,0.676987
杨戴/风波__chunk002,1.257306,1.177334,1.260396,1.190780,1.148591,1.201808,0.903558,0.964935,1.039179,1.084641,1.280049,1.006453,1.233942,1.191451,1.115040,1.000002,1.328888,1.426950,1.205562,0.998838,1.151959,1.073830,1.135286,1.233015,0.866512,1.003727,0.962515,1.003407,1.050618,1.061169,0.968574,1.155216,1.066630,1.262999,1.255789,1.022730,1.051698,0.932049,1.019586,0.907717,1.059442,1.340737,0.756024,0.000000,1.206744,1.170003,1.160655,1.013312,1.187427,0.937912,1.050951,0.957322,1.042916,1.242979,0.946412,1.073413,1.010582,0.975468,0.905698,1.140210,1.099904,1.103287,1.070938,1.051642,1.045531,1.128275,1.002744,1.078050,1.023843,1.143951,1.151076,1.000537,1.047082,1.095516,1.076672,1.132899,1.044690,0.994868,0.952197,0.977356,1.018710,1.014799,0.854853
蓝/伤逝__chunk001,0.854004,0.993956,0.955726,1.032406,1.001577,1.065331,0.941632,1.060769,1.069881,1.131695,1.116248,1.104465,1.456242,1.136545,1.203239,1.085597,1.247596,1.370948,0.983501,1.110287,0.874264,1.080652,1.194913,1.156574,1.154420,1.079962,1.045560,1.002698,1.128547,1.179879,1.074256,1.135968,1.203931,1.125863,1.167640,1.124038,1.052405,1.159884,1.222714,1.188587,1.219357,1.355050,1.136201,1.206744,0.000000,0.734444,0.759566,0.825895,1.046767,0.899755,0.987175,1.095892,1.040466,0.964435,1.006092,1.200447,0.904830,1.066087,0.951799,1.160884,1.084207,0.916378,0.978541,0.874866,0.975582,1.107834,1.119412,1.121859,0.989391,1.064292,1.128780,1.053237,1.037521,1.151458,1.093680,1.092343,1.046056,1.054068,1.062330,0.963322,0.999672,1.067534,0.963917
蓝/伤逝__chunk002,0.992666,0.859380,0.881547,0.847430,1.005517,0.968412,0.970236,1.160842,1.107388,1.067476,1.000106,0.948751,1.385336,1.101747,1.201413,1.037859,1.297638,1.342310,0.857466,1.064732,0.882283,1.127267,1.210863,1.198888,1.036536,1.160533,1.010364,0.991541,1.192576,1.287329,1.128890,1.188562,1.301214,1.173770,1.306497,1.240294,1.195997,1.130771,1.110181,1.213824,1.184081,1.346337,1.130958,1.170003,0.734444,0.000000,0.886987,0.957373,0.938545,0.898597,1.065995,1.063892,0.899834,0.835949,0.973839,1.190046,0.936487,0.990731,0.993731,1.201061,1.100318,0.867795,1.035345,0.917699,1.111537,1.154443,1.155199,1.189914,1.066666,1.078428,1.319563,1.188930,1.159760,1.254288,1.178201,1.184218,1.191498,1.201154,1.080516,1.035371,1.043701,1.100309,1.088276
蓝/伤逝__chunk003,1.031026,1.000824,0.900047,0.861749,0.907971,0.953271,1.023989,1.173358,1.036721,1.013558,1.078437,1.051419,1.413093,1.089697,1.173441,1.027697,1.157882,1.304838,0.981379,1.212728,0.844950,1.026321,1.255646,1.158511,1.134454,1.149468,1.054480,1.048274,1.183575,1.143239,1.069614,1.128987,1.250539,1.247493,1.286824,1.194400,1.102661,1.069438,1.222289,1.179894,1.179495,1.343088,1.151501,1.160655,0.759566,0.886987,0.000000,0.973986,0.984826,0.891818,1.044236,1.109776,1.054370,0.950578,0.963502,1.197806,1.005506,1.063785,0.964373,1.021393,1.099938,0.930822,1.076305,0.683632,1.067161,1.208831,1.127610,1.112124,1.015372,1.143878,1.144220,1.024786,1.042766,1.204481,1.090902,1.099402,1.063425,1.112509,1.111501,1.001130,1.021334,1.073288,0.937877
蓝/在酒楼上__chunk001,1.004832,1.027397,1.097276,1.132028,0.815537,1.037707,0.866356,1.002868,0.974882,0.995734,1.006554,1.051408,1.334858,1.090893,1.090868,0.946422,1.280997,1.385699,0.886419,0.903632,0.987732,1.064008,1.183710,1.211953,1.023516,1.137140,0.981055,0.973346,1.017407,1.065719,0.871659,0.921562,1.048911,1.179630,1.227076,1.083144,0.933830,0.909676,1.097416,1.013196,1.049840,1.315372,1.045460,1.013312,0.825895,0.957373,0.973986,0.000000,0.882449,0.828412,0.855018,0.908311,0.856488,0.909221,0.803373,1.056452,0.876803,0.898675,0.793482,1.051759,1.132832,0.851308,0.838875,0.820817,0.939472,1.090374,1.007702,1.163760,0.938102,1.048192,0.954357,0.873904,0.916188,1.009459,1.023753,1.088646,0.935639,0.844167,0.908072,0.867867,0.823343,0.983851,0.871434
