scale,sample,group,word_length_dist,function_word_freq,char_ngrams,word_bigrams,sentence_stats,punct_dist,ttr,hapax_ratio,weighted_total
4k,杨戴/铸剑__chunk002,杨戴,0.994871,0.927180,0.907815,0.660703,0.808857,0.995948,0.867856,0.801380,0.879270
4k,杨戴/阿Q正传__chunk001,杨戴,0.991213,0.961805,0.951036,0.711058,0.753584,0.987465,0.973740,0.994594,0.912455
4k,杨戴/阿Q正传__chunk002,杨戴,0.996680,0.946501,0.957245,0.673328,0.906124,0.997006,0.966354,0.958249,0.917191
4k,杨戴/阿Q正传__chunk003,杨戴,0.997576,0.971952,0.969675,0.724125,0.828669,0.995770,0.944084,0.923672,0.921270
4k,杨戴/阿Q正传__chunk004,杨戴,0.999043,0.962949,0.942508,0.761955,0.825450,0.998284,0.924845,0.944493,0.922204
4k,杨戴/风波__chunk001,杨戴,0.995738,0.974354,0.882031,0.849611,0.905436,0.988026,0.993905,0.903665,0.946744
4k,蓝/伤逝__chunk001,蓝,0.998586,0.920534,0.931044,0.766060,0.943504,0.996353,0.965779,0.966518,0.926187
4k,蓝/伤逝__chunk002,蓝,0.996128,0.894739,0.937938,0.795544,0.960371,0.994106,0.940184,0.911898,0.919029
4k,蓝/在酒楼上__chunk001,蓝,0.996443,0.933406,0.951458,0.843192,0.918413,0.998117,0.859025,0.826714,0.922515
4k,蓝/奔月__chunk001,蓝,0.997400,0.979821,0.957953,0.908844,0.815272,0.989786,0.975954,0.963138,0.953658
4k,蓝/孤独者__chunk001,蓝,0.995577,0.972779,0.964435,0.879666,0.965369,0.990604,0.949987,0.942717,0.958825
4k,蓝/孤独者__chunk002,蓝,0.996554,0.949009,0.962209,0.851647,0.915026,0.996353,0.978017,0.991493,0.948548
4k,蓝/幸福的家庭__chunk001,蓝,0.997951,0.948882,0.925716,0.804245,0.954130,0.985087,0.921528,0.931544,0.933288
4k,蓝/故乡__chunk001,蓝,0.998511,0.964685,0.957843,0.894245,0.959033,0.998796,0.979959,0.947264,0.962367
4k,蓝/明天__chunk001,蓝,0.991402,0.945452,0.936146,0.836527,0.934766,0.998367,0.918494,0.931276,0.936707
4k,蓝/狂人日记__chunk001,蓝,0.992006,0.906696,0.925462,0.802203,0.841255,0.988887,0.945650,0.942569,0.911965
4k,蓝/社戏__chunk001,蓝,0.996487,0.963864,0.955179,0.881618,0.863671,0.998244,0.991368,0.986110,0.953356
4k,蓝/祝福__chunk001,蓝,0.996557,0.953032,0.963047,0.804989,0.940895,0.998932,0.938998,0.958141,0.940202
4k,蓝/祝福__chunk002,蓝,0.994390,0.909231,0.941908,0.748525,0.904489,0.993325,0.934446,0.878190,0.908384
4k,蓝/离婚__chunk001,蓝,0.997548,0.979511,0.959249,0.855459,0.853184,0.996013,0.975105,0.976226,0.950931
4k,蓝/肥皂__chunk001,蓝,0.999345,0.976767,0.961350,0.846751,0.889990,0.995646,0.993758,0.971533,0.954343
4k,蓝/药__chunk001,蓝,0.991140,0.957431,0.958830,0.876328,0.851846,0.998378,0.893980,0.900683,0.935107
4k,蓝/铸剑__chunk001,蓝,0.997592,0.961353,0.957960,0.861414,0.900281,0.994045,0.982856,0.983209,0.951856
4k,蓝/铸剑__chunk002,蓝,0.993074,0.917827,0.908490,0.684468,0.935097,0.985282,0.906241,0.857506,0.897552
4k,蓝/阿Q正传__chunk001,蓝,0.992516,0.957892,0.962698,0.723123,0.813444,0.979852,0.974246,0.931289,0.915534
4k,蓝/阿Q正传__chunk002,蓝,0.998435,0.952792,0.965085,0.745308,0.904274,0.981033,0.959767,0.923442,0.925463
4k,蓝/阿Q正传__chunk003,蓝,0.998489,0.979422,0.963746,0.716324,0.843635,0.978866,0.991426,0.993084,0.929302
4k,蓝/阿Q正传__chunk004,蓝,0.998177,0.965537,0.955831,0.829363,0.953305,0.995620,0.947819,0.946750,0.948468
4k,蓝/风波__chunk001,蓝,0.992301,0.971030,0.876118,0.869951,0.955502,0.979342,0.941679,0.979100,0.950412
