scale,sample,group,word_length_dist,function_word_freq,char_ngrams,word_bigrams,sentence_stats,punct_dist,ttr,hapax_ratio,weighted_total
1k,蓝/狂人日记__chunk001,蓝,0.986883,0.866951,0.816824,0.688817,0.928248,0.992049,0.933594,0.912257,0.883542
1k,蓝/狂人日记__chunk002,蓝,0.981830,0.846010,0.849197,0.539146,0.907305,0.983506,0.969792,0.935286,0.857317
1k,蓝/狂人日记__chunk003,蓝,0.995813,0.919881,0.908050,0.654937,0.694834,0.988713,0.950905,0.917244,0.877932
1k,蓝/社戏__chunk001,蓝,0.982985,0.926030,0.900842,0.790115,0.761248,0.984733,0.958360,0.933527,0.906014
1k,蓝/社戏__chunk002,蓝,0.997551,0.928506,0.883139,0.779419,0.828291,0.996575,0.975174,0.997364,0.919078
1k,蓝/社戏__chunk003,蓝,0.993110,0.940013,0.898393,0.769691,0.851135,0.996077,0.968488,0.958074,0.920966
1k,蓝/社戏__chunk004,蓝,0.996213,0.937704,0.819678,0.726359,0.929027,0.998200,0.977380,0.952036,0.918843
1k,蓝/祝福__chunk001,蓝,0.995900,0.954929,0.879520,0.767018,0.846335,0.996178,0.925005,0.878235,0.915570
1k,蓝/祝福__chunk002,蓝,0.994310,0.883602,0.847292,0.585796,0.992211,0.993127,0.978359,0.997314,0.890637
1k,蓝/祝福__chunk003,蓝,0.989383,0.873558,0.872254,0.642578,0.805762,0.992872,0.926636,0.895104,0.867931
1k,蓝/祝福__chunk004,蓝,0.987151,0.862615,0.873652,0.675838,0.844606,0.984798,0.915605,0.882452,0.870421
1k,蓝/祝福__chunk005,蓝,0.988124,0.886155,0.867095,0.609181,0.927211,0.995428,0.758959,0.607279,0.847686
1k,蓝/祝福__chunk006,蓝,0.993314,0.844031,0.915369,0.708678,0.898748,0.988273,0.935461,0.882452,0.880395
1k,蓝/祝福__chunk007,蓝,0.991837,0.863354,0.881507,0.717342,0.906355,0.989804,0.817991,0.743264,0.867935
1k,蓝/离婚__chunk001,蓝,0.992892,0.963156,0.849360,0.683555,0.860129,0.988817,0.925355,0.854841,0.902850
1k,蓝/离婚__chunk002,蓝,0.993914,0.952536,0.907353,0.749415,0.909385,0.995280,0.973762,0.962952,0.928686
1k,蓝/离婚__chunk003,蓝,0.995129,0.910665,0.872710,0.542827,0.818293,0.995926,0.936398,0.889668,0.867113
1k,蓝/肥皂__chunk001,蓝,0.997781,0.936597,0.918453,0.746651,0.908871,0.992145,0.991935,0.953337,0.925247
1k,蓝/肥皂__chunk002,蓝,0.998637,0.955878,0.896824,0.622429,0.860890,0.990722,0.984516,0.975901,0.906777
1k,蓝/肥皂__chunk003,蓝,0.997040,0.939934,0.882944,0.782817,0.845426,0.975991,0.981390,0.951359,0.919902
1k,蓝/肥皂__chunk004,蓝,0.996986,0.952316,0.890002,0.747940,0.885158,0.997233,0.879461,0.831850,0.909724
1k,蓝/药__chunk001,蓝,0.984827,0.923994,0.884820,0.802508,0.950433,0.999183,0.942313,0.888102,0.923855
1k,蓝/药__chunk002,蓝,0.991050,0.903090,0.900268,0.647556,0.663367,0.977032,0.979587,0.910918,0.868575
1k,蓝/药__chunk003,蓝,0.983305,0.909446,0.902307,0.734445,0.970550,0.994151,0.948473,0.985561,0.916749
1k,蓝/铸剑__chunk001,蓝,0.992524,0.952461,0.883977,0.779673,0.863238,0.991718,0.988412,0.975816,0.928854
1k,蓝/铸剑__chunk002,蓝,0.991967,0.954885,0.910593,0.759293,0.811975,0.975874,0.970762,0.923570,0.915919
1k,蓝/铸剑__chunk003,蓝,0.995720,0.932386,0.922780,0.775492,0.931100,0.996787,0.942313,0.895650,0.923393
1k,蓝/铸剑__chunk004,蓝,0.995536,0.952625,0.902037,0.708664,0.848542,0.994895,0.977380,0.929896,0.915064
1k,蓝/铸剑__chunk005,蓝,0.993515,0.920860,0.859744,0.731858,0.960953,0.976063,0.991610,0.971841,0.918633
1k,蓝/铸剑__chunk006,蓝,0.989434,0.898491,0.858539,0.538264,0.925992,0.985495,0.998353,0.955180,0.880175
1k,蓝/铸剑__chunk007,蓝,0.991365,0.897109,0.876307,0.645607,0.880644,0.990165,0.947585,0.931003,0.886823
1k,蓝/阿Q正传__chunk001,蓝,0.986187,0.953040,0.864107,0.753542,0.832600,0.965440,0.991800,0.949443,0.915495
1k,蓝/阿Q正传__chunk002,蓝,0.988022,0.948579,0.862484,0.729967,0.698411,0.975769,0.983016,0.985921,0.899799
1k,蓝/阿Q正传__chunk003,蓝,0.993931,0.908984,0.862408,0.548652,0.836547,0.960666,0.966423,0.938173,0.868812
1k,蓝/阿Q正传__chunk004,蓝,0.990764,0.885807,0.905122,0.706516,0.906045,0.994341,0.986317,0.925382,0.900708
1k,蓝/阿Q正传__chunk005,蓝,0.995810,0.891710,0.874213,0.644797,0.972252,0.983703,0.967520,0.915502,0.894832
1k,蓝/阿Q正传__chunk006,蓝,0.989535,0.946787,0.917999,0.781910,0.813532,0.980297,0.949175,0.881562,0.913569
1k,蓝/阿Q正传__chunk007,蓝,0.995434,0.938491,0.875190,0.805850,0.970740,0.971667,0.985331,0.963916,0.935281
1k,蓝/阿Q正传__chunk008,蓝,0.998300,0.952286,0.900365,0.710229,0.912245,0.961837,0.980812,0.982683,0.919784
1k,蓝/阿Q正传__chunk009,蓝,0.994612,0.941951,0.938350,0.677954,0.880563,0.987561,0.969457,0.956135,0.911600
1k,蓝/阿Q正传__chunk010,蓝,0.996983,0.951291,0.897478,0.668500,0.779489,0.961461,0.988412,0.988014,0.900644
1k,蓝/阿Q正传__chunk011,蓝,0.998808,0.948011,0.908097,0.816866,0.762061,0.992411,0.998445,0.982683,0.926265
1k,蓝/阿Q正传__chunk012,蓝,0.993573,0.962560,0.897052,0.601912,0.901867,0.950353,0.997355,0.990982,0.905289
1k,蓝/阿Q正传__chunk013,蓝,0.996687,0.953148,0.902324,0.779718,0.914122,0.993248,0.989401,0.999520,0.937003
1k,蓝/阿Q正传__chunk014,蓝,0.990389,0.945262,0.850806,0.876779,0.936351,0.996139,0.995163,0.948493,0.946672
1k,蓝/阿Q正传__chunk015,蓝,0.997484,0.948738,0.911932,0.779845,0.866945,0.989703,0.983016,0.963724,0.928581
1k,蓝/阿Q正传__chunk016,蓝,0.997780,0.963716,0.918963,0.653001,0.841262,0.989245,0.904573,0.831846,0.897354
1k,蓝/阿Q正传__chunk017,蓝,0.989234,0.931457,0.782696,0.731773,0.966959,0.977393,0.872472,0.806863,0.898156
1k,蓝/风波__chunk001,蓝,0.986398,0.946752,0.806360,0.764142,0.931299,0.971519,0.925043,0.883844,0.913159
1k,蓝/风波__chunk002,蓝,0.993082,0.961526,0.811171,0.819042,0.949933,0.980385,0.998353,0.980502,0.942092
1k,蓝/风波__chunk003,蓝,0.991868,0.935846,0.859704,0.629126,0.910526,0.983747,0.976892,0.994452,0.903321
2k,杨戴/伤逝__chunk001,杨戴,0.998462,0.900973,0.903219,0.688745,0.929479,0.995154,0.991258,0.976444,0.908780
2k,杨戴/伤逝__chunk002,杨戴,0.997704,0.924917,0.929151,0.750321,0.934627,0.995509,0.942962,0.948998,0.920787
2k,杨戴/伤逝__chunk003,杨戴,0.998340,0.911288,0.934131,0.750776,0.923504,0.995781,0.970510,0.910104,0.916817
2k,杨戴/伤逝__chunk004,杨戴,0.996378,0.890458,0.898174,0.706449,0.824198,0.994699,0.980143,0.964224,0.895501
2k,杨戴/在酒楼上__chunk001,杨戴,0.995523,0.943902,0.946582,0.843244,0.873694,0.989226,0.976766,0.989131,0.939425
2k,杨戴/在酒楼上__chunk002,杨戴,0.998102,0.904738,0.927240,0.710513,0.852561,0.984382,0.937637,0.935476,0.897621
2k,杨戴/奔月__chunk001,杨戴,0.997874,0.984961,0.955475,0.828727,0.753163,0.962743,0.984282,0.995290,0.935279
2k,杨戴/奔月__chunk002,杨戴,0.995968,0.961724,0.926337,0.802115,0.679595,0.977221,0.967962,0.956507,0.913912
2k,杨戴/孤独者__chunk001,杨戴,0.996473,0.974960,0.949154,0.851668,0.960403,0.987870,0.909134,0.845481,0.944751
2k,杨戴/孤独者__chunk002,杨戴,0.993531,0.922582,0.927992,0.744404,0.764566,0.993856,0.957926,0.951806,0.903106
2k,杨戴/孤独者__chunk003,杨戴,0.992296,0.879087,0.923868,0.638128,0.828433,0.995488,0.990004,0.952575,0.883664
2k,杨戴/孤独者__chunk004,杨戴,0.996712,0.965864,0.928186,0.811816,0.888534,0.990539,0.934189,0.919718,0.934451
2k,杨戴/幸福的家庭__chunk001,杨戴,0.991825,0.928195,0.928742,0.728164,0.885278,0.984812,0.997601,0.986439,0.918634
2k,杨戴/故乡__chunk001,杨戴,0.998288,0.969661,0.941101,0.814099,0.800102,0.995907,0.953578,0.933143,0.931308
2k,杨戴/故乡__chunk002,杨戴,0.996116,0.959394,0.929408,0.794091,0.884664,0.980833,0.992521,0.996034,0.937659
2k,杨戴/明天__chunk001,杨戴,0.992555,0.945008,0.934477,0.578950,0.987763,0.974738,0.931375,0.841741,0.896536
2k,杨戴/狂人日记__chunk001,杨戴,0.993090,0.913841,0.911192,0.741203,0.855263,0.992500,0.915899,0.905149,0.901450
2k,杨戴/狂人日记__chunk002,杨戴,0.997940,0.910769,0.921018,0.762507,0.928042,0.994959,0.917537,0.900900,0.912298
2k,杨戴/社戏__chunk001,杨戴,0.996183,0.938259,0.946494,0.789920,0.805928,0.989505,0.950680,0.933143,0.917652
2k,杨戴/社戏__chunk002,杨戴,0.997400,0.926776,0.908836,0.842820,0.872331,0.993219,0.948256,0.905601,0.925959
2k,杨戴/祝福__chunk001,杨戴,0.994819,0.942693,0.928926,0.797472,0.833492,0.989132,0.985761,0.989974,0.928151
2k,杨戴/祝福__chunk002,杨戴,0.992919,0.890985,0.934628,0.702012,0.819900,0.992094,0.923145,0.881820,0.885830
2k,杨戴/祝福__chunk003,杨戴,0.995101,0.925722,0.925221,0.777348,0.794999,0.988274,0.833711,0.709543,0.886679
2k,杨戴/祝福__chunk004,杨戴,0.997179,0.911842,0.922600,0.652462,0.846431,0.992844,0.885660,0.855257,0.882168
2k,杨戴/离婚__chunk001,杨戴,0.996991,0.975300,0.925797,0.764940,0.791402,0.971751,0.937637,0.881820,0.916078
2k,杨戴/离婚__chunk002,杨戴,0.997869,0.962988,0.834567,0.762045,0.715738,0.973864,0.909081,0.862617,0.896411
2k,杨戴/肥皂__chunk001,杨戴,0.998384,0.941217,0.934044,0.729596,0.800289,0.973940,0.993244,0.972413,0.912410
2k,杨戴/肥皂__chunk002,杨戴,0.995591,0.967275,0.930197,0.781743,0.743592,0.921516,0.992295,0.984101,0.914534
2k,杨戴/药__chunk001,杨戴,0.989614,0.941925,0.926523,0.757729,0.772535,0.996002,0.967304,0.954220,0.912619
2k,杨戴/药__chunk002,杨戴,0.994310,0.933569,0.866587,0.745961,0.798011,0.996447,0.789497,0.718676,0.878877
2k,杨戴/铸剑__chunk001,杨戴,0.997606,0.948924,0.931217,0.847334,0.758073,0.956443,0.991426,0.987693,0.925900
2k,杨戴/铸剑__chunk002,杨戴,0.997023,0.930796,0.912188,0.782846,0.808883,0.991855,0.935336,0.881132,0.909234
2k,杨戴/铸剑__chunk003,杨戴,0.994697,0.920453,0.876041,0.771226,0.768450,0.996362,0.994156,0.996881,0.910650
2k,杨戴/阿Q正传__chunk001,杨戴,0.984661,0.954748,0.926762,0.683458,0.745141,0.989413,0.955521,0.985813,0.901516
2k,杨戴/阿Q正传__chunk002,杨戴,0.995572,0.933446,0.931595,0.750071,0.775105,0.983919,0.974829,0.979310,0.910228
2k,杨戴/阿Q正传__chunk003,杨戴,0.996848,0.949927,0.941934,0.690834,0.917538,0.993390,0.975109,0.963760,0.921846
2k,杨戴/阿Q正传__chunk004,杨戴,0.996228,0.931620,0.937338,0.682742,0.905910,0.995126,0.980727,0.978397,0.915239
2k,杨戴/阿Q正传__chunk005,杨戴,0.998273,0.954535,0.949695,0.785199,0.780796,0.990600,0.973381,0.960657,0.923493
2k,杨戴/阿Q正传__chunk006,杨戴,0.994767,0.964071,0.943215,0.686863,0.895873,0.994549,0.953102,0.958325,0.920884
2k,杨戴/阿Q正传__chunk007,杨戴,0.998615,0.954721,0.895627,0.791399,0.749419,0.994957,0.937637,0.942474,0.914842
2k,杨戴/阿Q正传__chunk008,杨戴,0.998252,0.958567,0.937547,0.721136,0.916978,0.997495,0.926507,0.917272,0.922279
2k,杨戴/阿Q正传__chunk009,杨戴,0.998286,0.936188,0.892788,0.728446,0.890252,0.996646,0.929294,0.931769,0.912631
2k,杨戴/风波__chunk001,杨戴,0.993811,0.964445,0.880843,0.815958,0.917147,0.995920,0.987436,0.916313,0.940812
2k,杨戴/风波__chunk002,杨戴,0.996873,0.967233,0.838523,0.775392,0.870467,0.962301,0.858595,0.858035,0.908245
2k,蓝/伤逝__chunk001,蓝,0.996114,0.907632,0.914615,0.724274,0.853824,0.987156,0.986727,0.988029,0.907803
2k,蓝/伤逝__chunk002,蓝,0.998545,0.919887,0.904569,0.690691,0.902266,0.989693,0.964645,0.977077,0.908652
2k,蓝/伤逝__chunk003,蓝,0.996402,0.893498,0.931642,0.755851,0.961362,0.991174,0.995961,0.997889,0.921952
2k,蓝/在酒楼上__chunk001,蓝,0.994625,0.951863,0.939817,0.830807,0.963719,0.994560,0.980383,0.959754,0.948215
2k,蓝/在酒楼上__chunk002,蓝,0.994107,0.874716,0.918598,0.714387,0.880654,0.996982,0.833997,0.758450,0.873849
2k,蓝/奔月__chunk001,蓝,0.997582,0.980277,0.944093,0.854493,0.821562,0.991215,0.994261,0.939584,0.946464
2k,蓝/奔月__chunk002,蓝,0.995132,0.962283,0.919239,0.847630,0.808051,0.989588,0.956571,0.942802,0.933345
2k,蓝/孤独者__chunk001,蓝,0.995760,0.974107,0.945894,0.826759,0.883362,0.994384,0.985422,0.974334,0.947869
2k,蓝/孤独者__chunk002,蓝,0.995314,0.946624,0.939451,0.835573,0.884422,0.974468,0.959758,0.949113,0.933871
2k,蓝/孤独者__chunk003,蓝,0.994993,0.854490,0.897804,0.690091,0.856128,0.992457,0.970012,0.977077,0.884587
