,杨戴/伤逝__chunk001,杨戴/伤逝__chunk002,杨戴/在酒楼上__chunk001,杨戴/奔月__chunk001,杨戴/孤独者__chunk001,杨戴/孤独者__chunk002,杨戴/幸福的家庭__chunk001,杨戴/故乡__chunk001,杨戴/明天__chunk001,杨戴/狂人日记__chunk001,杨戴/社戏__chunk001,杨戴/祝福__chunk001,杨戴/祝福__chunk002,杨戴/离婚__chunk001,杨戴/肥皂__chunk001,杨戴/药__chunk001,杨戴/铸剑__chunk001,杨戴/铸剑__chunk002,杨戴/阿Q正传__chunk001,杨戴/阿Q正传__chunk002,杨戴/阿Q正传__chunk003,杨戴/阿Q正传__chunk004,杨戴/风波__chunk001,蓝/伤逝__chunk001,蓝/伤逝__chunk002,蓝/在酒楼上__chunk001,蓝/奔月__chunk001,蓝/孤独者__chunk001,蓝/孤独者__chunk002,蓝/幸福的家庭__chunk001,蓝/故乡__chunk001,蓝/明天__chunk001,蓝/狂人日记__chunk001,蓝/社戏__chunk001,蓝/祝福__chunk001,蓝/祝福__chunk002,蓝/离婚__chunk001,蓝/肥皂__chunk001,蓝/药__chunk001,蓝/铸剑__chunk001,蓝/铸剑__chunk002,蓝/阿Q正传__chunk001,蓝/阿Q正传__chunk002,蓝/阿Q正传__chunk003,蓝/阿Q正传__chunk004,蓝/风波__chunk001
杨戴/肥皂__chunk001,1.016854,1.073870,1.012129,0.743755,0.916381,0.972461,1.058869,1.070376,1.086889,1.263826,1.085094,1.094901,1.164800,0.732095,0.000000,1.074395,0.917016,1.108312,1.159835,1.070758,1.114279,1.160987,0.973006,1.055624,1.217496,0.920155,0.873505,0.997363,0.962788,1.134076,0.928440,1.113656,1.043139,1.174434,0.965506,1.215926,0.945503,0.710625,1.211869,0.975235,1.268123,1.067424,1.150834,1.025591,1.079600,0.991017
杨戴/药__chunk001,1.187487,1.274167,1.135166,0.903148,0.966005,1.078785,1.184617,1.114227,1.032605,1.317221,1.026554,1.096855,1.153452,0.994636,1.074395,0.000000,0.870115,0.970798,1.334903,1.075012,1.024460,1.037810,0.982260,1.247585,1.266560,1.075560,1.013932,1.030792,1.004358,1.163726,0.996079,1.093107,1.202043,1.120699,1.059980,1.132472,1.039055,1.111821,0.924654,0.957033,1.100722,1.163422,1.089845,0.960829,0.970198,0.990423
杨戴/铸剑__chunk001,1.179192,1.161202,1.132446,0.800992,0.913227,1.069125,1.179608,1.098371,1.050010,1.394098,0.942687,1.170085,1.199425,0.975476,0.917016,0.870115,0.000000,0.943218,1.176659,0.971157,1.031255,1.036480,0.998309,1.145639,1.152181,0.924834,0.803234,0.948728,0.915373,1.121621,0.925548,1.024407,1.193140,0.954544,0.950841,1.194758,0.949368,0.993591,0.832202,0.536330,0.922323,0.984434,0.897066,0.803807,0.834156,0.869463
杨戴/铸剑__chunk002,1.253191,1.360820,1.235814,0.994863,1.079881,1.146317,1.252119,1.319920,1.075665,1.413479,1.007754,1.249064,1.360860,1.099373,1.108312,0.970798,0.943218,0.000000,1.441593,1.182265,1.108431,1.165031,1.073098,1.318355,1.416712,1.217602,1.110718,1.157843,1.132931,1.226847,1.168026,1.165751,1.250139,1.127756,1.186978,1.329937,1.064002,1.126624,1.105896,0.959670,0.689696,1.283259,1.168791,1.093924,1.141595,1.019143
杨戴/阿Q正传__chunk001,1.217586,1.366195,1.264578,1.184187,1.085667,1.042572,1.262224,1.310379,1.427865,1.302784,1.180284,1.080614,1.359467,1.139273,1.159835,1.334903,1.176659,1.441593,0.000000,0.881346,0.900816,1.040933,1.295506,1.238350,1.472584,1.298023,1.311759,1.179671,1.273489,1.443501,1.311873,1.429883,1.299962,1.406812,1.220721,1.550120,1.391396,1.429141,1.413857,1.210986,1.447961,0.765474,1.112257,1.048596,1.054069,1.363010
杨戴/阿Q正传__chunk002,1.200341,1.201437,1.095975,0.938088,0.936011,1.020492,1.241885,1.060379,1.146585,1.439391,1.050228,0.931889,1.151580,1.006625,1.070758,1.075012,0.971157,1.182265,0.881346,0.000000,0.738458,0.715480,0.974670,1.209913,1.199932,1.155502,1.042994,1.009594,1.093184,1.313824,1.156756,1.188116,1.246107,1.197245,1.054349,1.205736,1.236443,1.293442,1.233920,1.026149,1.221608,0.864602,0.822781,0.850290,0.837911,1.081409
杨戴/阿Q正传__chunk003,1.158788,1.176606,1.021229,1.027399,0.886576,0.928716,1.356985,1.000170,1.084755,1.263715,0.901900,0.849262,1.038792,0.935362,1.114279,1.024460,1.031255,1.108431,0.900816,0.738458,0.000000,0.769642,0.908910,1.187212,1.214433,1.148614,1.130418,1.006664,1.086534,1.422789,1.097944,1.204690,1.117985,1.107192,1.130040,1.330066,1.195088,1.256707,1.350776,1.122268,1.260748,0.945297,0.947672,0.735102,0.867987,1.104840
杨戴/阿Q正传__chunk004,1.145458,1.271037,1.033896,0.928862,0.919860,0.969304,1.358123,1.000967,1.068939,1.413193,0.969341,0.987475,1.080126,1.157418,1.160987,1.037810,1.036480,1.165031,1.040933,0.715480,0.769642,0.000000,0.889134,1.277665,1.264708,1.155073,1.000382,1.048320,1.077159,1.380310,1.126232,1.127521,1.278910,1.211829,1.160405,1.255383,1.267181,1.306629,1.245094,1.038902,1.273964,0.961238,0.927635,0.883888,0.657565,1.117916
杨戴/风波__chunk001,1.251951,1.150881,1.140173,0.900933,1.003444,1.109159,1.222888,1.022437,1.005982,1.455111,1.032758,0.996066,1.105002,0.850496,0.973006,0.982260,0.998309,1.073098,1.295506,0.974670,0.908910,0.889134,0.000000,1.262280,1.221016,1.099444,1.006245,1.023644,1.070191,1.241489,0.985129,1.008783,1.210332,1.098757,1.086272,1.211473,1.087249,1.060840,1.169641,1.010681,1.172421,1.064366,1.040529,0.897447,1.011875,0.784553
蓝/伤逝__chunk001,0.905197,0.973504,1.023595,1.076703,1.088907,1.067390,1.479975,1.225640,1.250891,1.432151,0.987070,1.050910,1.265712,1.117216,1.055624,1.247585,1.145639,1.318355,1.238350,1.209913,1.187212,1.277665,1.262280,0.000000,0.914161,0.904110,0.960488,1.071392,0.876270,1.323143,0.947210,1.063471,1.171759,0.917246,0.924783,1.108515,1.143893,1.047533,1.221966,1.116315,1.285413,1.154337,1.166571,1.066111,1.065166,1.101913
蓝/伤逝__chunk002,1.126755,0.870870,0.991095,1.195518,1.130947,1.069757,1.478527,1.173742,1.213121,1.369124,1.115541,0.997826,1.256337,1.271210,1.217496,1.266560,1.152181,1.416712,1.472584,1.199932,1.214433,1.264708,1.221016,0.914161,0.000000,1.123802,1.017200,1.149836,0.991648,1.372284,1.084624,1.145694,1.088838,1.080373,0.961074,1.310853,1.169472,1.216210,1.293575,1.125815,1.384375,1.229552,1.206361,1.090276,1.134713,1.105502
蓝/在酒楼上__chunk001,0.970638,1.042123,0.895609,0.939771,0.973100,0.973109,1.361310,1.108114,1.115879,1.359580,0.944364,1.080573,1.235655,1.040431,0.920155,1.075560,0.924834,1.217602,1.298023,1.155502,1.148614,1.155073,1.099444,0.904110,1.123802,0.000000,0.895579,0.847603,0.722235,1.262780,0.801020,0.983855,1.121519,0.966628,0.840696,1.060798,1.089253,0.895745,1.117882,0.970270,1.294847,1.071122,1.023972,1.012075,0.980928,1.015475
蓝/奔月__chunk001,1.236822,1.176272,1.090268,0.603938,1.020731,1.052894,1.236396,1.122280,1.063272,1.503822,1.043482,1.120121,1.224059,1.025735,0.873505,1.013932,0.803234,1.110718,1.311759,1.042994,1.130418,1.000382,1.006245,0.960488,1.017200,0.895579,0.000000,0.930138,0.823092,0.946110,0.850044,0.828578,1.140052,0.931158,0.886140,1.156432,0.959530,0.787082,0.872165,0.679965,1.126105,1.043006,0.939133,0.882550,0.831611,0.779779
蓝/孤独者__chunk001,1.149837,1.197375,1.186919,0.918051,0.751243,0.948666,1.232174,1.036733,1.195648,1.322716,0.999696,1.001640,1.166093,1.004579,0.997363,1.030792,0.948728,1.157843,1.179671,1.009594,1.006664,1.048320,1.023644,1.071392,1.149836,0.847603,0.930138,0.000000,0.663593,1.192070,0.850772,1.028093,1.104379,0.905766,0.817212,1.048081,0.918716,0.917201,1.171911,0.964758,1.059024,1.030004,0.970254,0.748586,0.965864,0.948459
蓝/孤独者__chunk002,1.119064,1.067204,1.031109,0.937744,0.868468,0.791171,1.265938,1.043312,1.149127,1.354886,0.964341,0.974952,1.205826,0.985836,0.962788,1.004358,0.915373,1.132931,1.273489,1.093184,1.086534,1.077159,1.070191,0.876270,0.991648,0.722235,0.823092,0.663593,0.000000,1.136180,0.843567,0.971608,1.055272,0.799453,0.717858,1.076890,0.897029,0.858136,1.045831,0.883379,1.138007,1.068659,0.982026,0.875344,0.903831,0.915341
蓝/幸福的家庭__chunk001,1.409683,1.453361,1.457464,1.110502,1.266398,1.341137,0.820858,1.470893,1.258059,1.621573,1.311026,1.423235,1.556051,1.240319,1.134076,1.163726,1.121621,1.226847,1.443501,1.313824,1.422789,1.380310,1.241489,1.323143,1.372284,1.262780,0.946110,1.192070,1.136180,0.000000,1.236999,1.062090,1.328140,1.185694,1.049354,1.337614,1.120047,0.993893,1.075131,1.043392,1.150841,1.296065,1.241862,1.083576,1.184951,1.042012
蓝/故乡__chunk001,1.063933,1.180407,1.156982,0.863134,0.952772,0.996665,1.388825,0.913337,1.144528,1.345696,0.944944,1.054951,1.311609,0.996468,0.928440,0.996079,0.925548,1.168026,1.311873,1.156756,1.097944,1.126232,0.985129,0.947210,1.084624,0.801020,0.850044,0.850772,0.843567,1.236999,0.000000,0.994632,1.048221,0.910978,0.843698,1.117761,0.966211,0.869830,1.124964,0.966237,1.222759,1.155481,1.003823,0.879487,0.947403,0.924210
蓝/明天__chunk001,1.233076,1.285476,1.171889,1.005124,1.197536,1.215604,1.260584,1.346085,0.908337,1.703015,1.155892,1.181633,1.284107,1.220273,1.113656,1.093107,1.024407,1.165751,1.429883,1.188116,1.204690,1.127521,1.008783,1.063471,1.145694,0.983855,0.828578,1.028093,0.971608,1.062090,0.994632,0.000000,1.258648,0.982443,0.951983,1.075162,1.049402,0.983763,0.968132,0.915808,1.056733,1.102990,0.942110,0.921773,0.972019,0.865498
蓝/狂人日记__chunk001,1.190633,1.246141,1.238800,1.168094,1.065422,1.008782,1.281770,1.172350,1.347381,0.860562,1.212825,1.146414,1.274780,1.071686,1.043139,1.202043,1.193140,1.250139,1.299962,1.246107,1.117985,1.278910,1.210332,1.171759,1.088838,1.121519,1.140052,1.104379,1.055272,1.328140,1.048221,1.258648,0.000000,1.201863,1.058280,1.358624,1.131996,1.159943,1.332339,1.162581,1.370419,1.162089,1.274242,1.095037,1.173861,1.173197
蓝/社戏__chunk001,1.176017,1.195446,1.243200,1.076318,1.076019,1.168444,1.392938,1.238044,1.291206,1.539250,0.776613,1.145771,1.373728,1.103565,1.174434,1.120699,0.954544,1.127756,1.406812,1.197245,1.107192,1.211829,1.098757,0.917246,1.080373,0.966628,0.931158,0.905766,0.799453,1.185694,0.910978,0.982443,1.201863,0.000000,0.833721,1.249670,1.069064,1.006615,1.037806,0.989459,0.981081,1.130638,1.023170,0.824746,0.942416,0.853369
蓝/祝福__chunk001,1.084088,1.146336,1.105066,1.010985,0.913049,1.003447,1.234384,1.103653,1.126173,1.429171,0.904574,0.837417,1.170952,1.043725,0.965506,1.059980,0.950841,1.186978,1.220721,1.054349,1.130040,1.160405,1.086272,0.924783,0.961074,0.840696,0.886140,0.817212,0.717858,1.049354,0.843698,0.951983,1.058280,0.833721,0.000000,1.098434,0.958076,0.859914,1.067166,0.952332,1.044911,1.047949,0.986367,0.824607,0.887822,0.839489
蓝/祝福__chunk002,1.243926,1.387991,1.228915,1.166689,1.153856,1.202194,1.415785,1.331982,1.257457,1.572572,1.228711,1.193247,1.031900,1.273442,1.215926,1.132472,1.194758,1.329937,1.550120,1.205736,1.330066,1.255383,1.211473,1.108515,1.310853,1.060798,1.156432,1.048081,1.076890,1.337614,1.117761,1.075162,1.358624,1.249670,1.098434,0.000000,1.214302,1.162052,1.260824,1.128996,1.334169,1.280257,1.268069,1.168895,1.235850,1.136322
蓝/离婚__chunk001,1.342197,1.339960,1.284717,0.998114,1.095870,1.154885,1.190859,1.272778,1.246618,1.445722,1.219677,1.239469,1.375767,0.875208,0.945503,1.039055,0.949368,1.064002,1.391396,1.236443,1.195088,1.267181,1.087249,1.143893,1.169472,1.089253,0.959530,0.918716,0.897029,1.120047,0.966211,1.049402,1.131996,1.069064,0.958076,1.214302,0.000000,0.837196,0.996603,0.923226,1.029021,1.087553,1.133267,0.911997,1.113048,0.900392
蓝/肥皂__chunk001,1.283970,1.297315,1.229027,0.900026,1.141441,1.160929,1.187402,1.175195,1.249881,1.497599,1.140298,1.266629,1.347212,0.936771,0.710625,1.111821,0.993591,1.126624,1.429141,1.293442,1.256707,1.306629,1.060840,1.047533,1.216210,0.895745,0.787082,0.917201,0.858136,0.993893,0.869830,0.983763,1.159943,1.006615,0.859914,1.162052,0.837196,0.000000,1.058477,0.829475,1.198697,1.192979,1.055415,0.897125,1.013234,0.813298
蓝/药__chunk001,1.370856,1.520449,1.442626,1.076548,1.304766,1.393817,1.319896,1.462921,1.249497,1.691815,1.269662,1.394360,1.536326,1.152783,1.211869,0.924654,0.832202,1.105896,1.413857,1.233920,1.350776,1.245094,1.169641,1.221966,1.293575,1.117882,0.872165,1.171911,1.045831,1.075131,1.124964,0.968132,1.332339,1.037806,1.067166,1.260824,0.996603,1.058477,0.000000,0.822226,0.972658,1.196229,1.058586,0.987692,0.969432,0.980236
蓝/铸剑__chunk001,1.322551,1.316647,1.195586,0.850187,1.042332,1.031631,1.150472,1.196489,1.119477,1.485456,1.063009,1.288918,1.284673,1.145821,0.975235,0.957033,0.536330,0.959670,1.210986,1.026149,1.122268,1.038902,1.010681,1.116315,1.125815,0.970270,0.679965,0.964758,0.883379,1.043392,0.966237,0.915808,1.162581,0.989459,0.952332,1.128996,0.923226,0.829475,0.822226,0.000000,0.886618,0.918025,0.816786,0.909759,0.845766,0.807582
蓝/铸剑__chunk002,1.424025,1.498114,1.385816,1.164388,1.196226,1.321599,1.339054,1.470919,1.267480,1.633604,1.201144,1.332413,1.478502,1.218758,1.268123,1.100722,0.922323,0.689696,1.447961,1.221608,1.260748,1.273964,1.172421,1.285413,1.384375,1.294847,1.126105,1.059024,1.138007,1.150841,1.222759,1.056733,1.370419,0.981081,1.044911,1.334169,1.029021,1.198697,0.972658,0.886618,0.000000,1.212873,1.076673,0.997689,1.137406,0.986516
蓝/阿Q正传__chunk001,1.235431,1.337419,1.228467,1.022250,1.070671,1.091897,1.255025,1.320096,1.265485,1.434758,1.240978,1.128142,1.256783,1.108378,1.067424,1.163422,0.984434,1.283259,0.765474,0.864602,0.945297,0.961238,1.064366,1.154337,1.229552,1.071122,1.043006,1.030004,1.068659,1.296065,1.155481,1.102990,1.162089,1.130638,1.047949,1.280257,1.087553,1.192979,1.196229,0.918025,1.212873,0.000000,0.762549,0.826120,0.803732,1.033404
蓝/阿Q正传__chunk002,1.331925,1.348883,1.220133,1.016997,1.048096,1.188666,1.355863,1.265849,1.190006,1.679490,1.158097,1.209440,1.333842,1.189485,1.150834,1.089845,0.897066,1.168791,1.112257,0.822781,0.947672,0.927635,1.040529,1.166571,1.206361,1.023972,0.939133,0.970254,0.982026,1.241862,1.003823,0.942110,1.274242,1.023170,0.986367,1.268069,1.133267,1.055415,1.058586,0.816786,1.076673,0.762549,0.000000,0.759761,0.728377,0.836443
蓝/阿Q正传__chunk003,1.184542,1.238566,1.125772,0.962734,0.913670,1.056121,1.221875,1.091505,1.086680,1.344216,0.968688,1.047217,1.195031,0.893797,1.025591,0.960829,0.803807,1.093924,1.048596,0.850290,0.735102,0.883888,0.897447,1.066111,1.090276,1.012075,0.882550,0.748586,0.875344,1.083576,0.879487,0.921773,1.095037,0.824746,0.824607,1.168895,0.911997,0.897125,0.987692,0.909759,0.997689,0.826120,0.759761,0.000000,0.705719,0.777143
蓝/阿Q正传__chunk004,1.246722,1.269869,1.189626,0.884008,1.014992,1.041061,1.285938,1.135242,1.122279,1.506203,0.988686,1.153674,1.264189,1.115162,1.079600,0.970198,0.834156,1.141595,1.054069,0.837911,0.867987,0.657565,1.011875,1.065166,1.134713,0.980928,0.831611,0.965864,0.903831,1.184951,0.947403,0.972019,1.173861,0.942416,0.887822,1.235850,1.113048,1.013234,0.969432,0.845766,1.137406,0.803732,0.728377,0.705719,0.000000,0.914368
蓝/风波__chunk001,1.351270,1.304208,1.246840,0.923237,1.138741,1.210202,1.200356,1.266160,1.119988,1.519999,1.121523,1.203269,1.274628,0.959595,0.991017,0.990423,0.869463,1.019143,1.363010,1.081409,1.104840,1.117916,0.784553,1.101913,1.105502,1.015475,0.779779,0.948459,0.915341,1.042012,0.924210,0.865498,1.173197,0.853369,0.839489,1.136322,0.900392,0.813298,0.980236,0.807582,0.986516,1.033404,0.836443,0.777143,0.914368,0.000000
