work,group_a,group_b,cross_translator_dist,same_translator_dist,winner
伤逝,杨戴,蓝,0.934230,1.088962,original
在酒楼上,杨戴,蓝,0.991839,1.034935,original
奔月,杨戴,蓝,0.735923,0.980812,original
孤独者,杨戴,蓝,0.956152,1.008489,original
幸福的家庭,杨戴,蓝,0.780235,1.202125,original
故乡,杨戴,蓝,0.978676,1.038048,original
明天,杨戴,蓝,0.788857,0.990460,original
狂人日记,杨戴,蓝,1.001115,1.209976,original
社戏,杨戴,蓝,0.929115,1.041169,original
祝福,杨戴,蓝,1.072614,1.069790,translator
离婚,杨戴,蓝,0.924105,1.051510,original
肥皂,杨戴,蓝,0.796763,1.019229,original
药,杨戴,蓝,0.994132,1.087845,original
铸剑,杨戴,蓝,0.803765,1.062148,original
阿Q正传,杨戴,蓝,0.951854,1.078534,original
风波,杨戴,蓝,0.765914,0.991306,original
