work,group_a,group_b,cross_translator_dist,same_translator_dist,winner
伤逝,杨戴,蓝,0.969082,1.124669,original
在酒楼上,杨戴,蓝,0.895609,1.021706,original
奔月,杨戴,蓝,0.603938,0.959335,original
孤独者,杨戴,蓝,0.839887,0.975492,original
幸福的家庭,杨戴,蓝,0.820858,1.228404,original
故乡,杨戴,蓝,0.913337,1.021165,original
明天,杨戴,蓝,0.908337,1.062683,original
狂人日记,杨戴,蓝,0.860562,1.245653,original
社戏,杨戴,蓝,0.776613,1.004980,original
祝福,杨戴,蓝,1.058379,1.071589,original
离婚,杨戴,蓝,0.875208,1.030852,original
肥皂,杨戴,蓝,0.710625,1.011925,original
药,杨戴,蓝,0.924654,1.078784,original
铸剑,杨戴,蓝,0.777005,1.083309,original
阿Q正传,杨戴,蓝,0.892648,1.074543,original
风波,杨戴,蓝,0.784553,1.002094,original
