variant,scale,within,between,d,competition_wins,knn_acc,knn_baseline
random_20260836,2k,0.146128,0.158857,0.290280,16,0.650602,0.530120
random_20260837,2k,0.142617,0.156013,0.320005,16,0.674699,0.530120
default,4k,0.121367,0.136493,0.370115,16,0.739130,0.500000
uniform,4k,0.115998,0.137697,0.586727,14,0.760870,0.500000
lodo_word_length_dist,4k,0.133959,0.150592,0.368044,16,0.739130,0.500000
lodo_function_word_freq,4k,0.130924,0.147796,0.379229,15,0.739130,0.500000
lodo_char_ngrams,4k,0.122121,0.137481,0.362132,16,0.739130,0.500000
lodo_word_bigrams,4k,0.079270,0.096083,0.601205,16,0.847826,0.500000
lodo_sentence_stats,4k,0.116697,0.133053,0.381428,16,0.652174,0.500000
lodo_punct_dist,4k,0.139248,0.156358,0.360116,16,0.673913,0.500000
lodo_ttr,4k,0.126781,0.138120,0.261303,16,0.586957,0.500000
lodo_hapax_ratio,4k,0.122607,0.133916,0.271701,16,0.630435,0.500000
single_word_length_dist,4k,0.008046,0.009596,0.250296,14,0.500000,0.500000
single_function_word_freq,4k,0.099069,0.110117,0.203133,16,0.500000,0.500000
single_char_ngrams,4k,0.107042,0.117716,0.300578,16,0.369565,0.500000
single_word_bigrams,4k,0.359920,0.365480,0.034556,15,0.369565,0.500000
single_sentence_stats,4k,0.163401,0.167448,0.043533,13,0.565217,0.500000
single_punct_dist,4k,0.020043,0.023922,0.191819,10,0.652174,0.500000
single_ttr,4k,0.072648,0.121844,0.810544,5,0.847826,0.500000
single_hapax_ratio,4k,0.097816,0.185451,1.054632,4,0.782609,0.500000
random_20260818,4k,0.114315,0.130545,0.428656,16,0.739130,0.500000
random_20260819,4k,0.112088,0.124999,0.344203,16,0.652174,0.500000
random_20260820,4k,0.130361,0.144470,0.312858,16,0.630435,0.500000
random_20260821,4k,0.113511,0.126870,0.366342,16,0.673913,0.500000
random_20260822,4k,0.106842,0.123495,0.469718,16,0.717391,0.500000
random_20260823,4k,0.112151,0.129779,0.450474,16,0.717391,0.500000
random_20260824,4k,0.126762,0.142659,0.373665,16,0.739130,0.500000
random_20260825,4k,0.130039,0.143984,0.310152,16,0.652174,0.500000
random_20260826,4k,0.131363,0.143969,0.274063,16,0.543478,0.500000
random_20260827,4k,0.122254,0.138359,0.400067,16,0.739130,0.500000
random_20260828,4k,0.114230,0.129072,0.392245,16,0.760870,0.500000
random_20260829,4k,0.119137,0.133384,0.349358,16,0.630435,0.500000
random_20260830,4k,0.136061,0.152852,0.366794,15,0.739130,0.500000
random_20260831,4k,0.120829,0.139212,0.446367,15,0.717391,0.500000
random_20260832,4k,0.147617,0.161763,0.266861,15,0.630435,0.500000
random_20260833,4k,0.117424,0.133188,0.399904,16,0.739130,0.500000
random_20260834,4k,0.141961,0.159833,0.373680,15,0.739130,0.500000
random_20260835,4k,0.129949,0.144374,0.331215,16,0.695652,0.500000
random_20260836,4k,0.125137,0.141992,0.399763,16,0.717391,0.500000
random_20260837,4k,0.122880,0.141504,0.454714,15,0.739130,0.500000
