work,group_a,group_b,cross_translator_dist,same_translator_dist,winner
伤逝,杨戴,蓝,0.969082,1.124677,original
在酒楼上,杨戴,蓝,0.895607,1.021729,original
奔月,杨戴,蓝,0.603936,0.959344,original
孤独者,杨戴,蓝,0.839904,0.975496,original
幸福的家庭,杨戴,蓝,0.820902,1.228421,original
故乡,杨戴,蓝,0.913379,1.021175,original
明天,杨戴,蓝,0.908398,1.062715,original
狂人日记,杨戴,蓝,0.860586,1.245665,original
社戏,杨戴,蓝,0.776611,1.004986,original
祝福,杨戴,蓝,1.058095,1.071498,original
离婚,杨戴,蓝,0.875235,1.030913,original
肥皂,杨戴,蓝,0.710643,1.011928,original
药,杨戴,蓝,0.924668,1.078792,original
铸剑,杨戴,蓝,0.777025,1.083318,original
阿Q正传,杨戴,蓝,0.892666,1.074548,original
风波,杨戴,蓝,0.784570,1.002108,original
